"Category","Item","Retailer","Shelf_Price","Price_per_unit","Unit","Date"
"Tomatoes","ASDA Beef Tomato","ASDA",0.5,0.5,"Each",2019-01-14
"Tomatoes","ASDA Vine Ripened Tomatoes","ASDA",1.1,1.1,"Each",2019-01-14
"Tomatoes","ASDA Organic Grower's Selection Vine Tomatoes","ASDA",1.6,1.6,"Each",2019-01-14
"Tomatoes","ASDA Extra Special Vine Ripened Tomatoes ","ASDA",1.35,0.338,"Each",2019-01-14
"Tomatoes","ASDA Grower's Selection Cherry on the Vine Tomatoes ","ASDA",1,4.44,"Kg",2019-01-14
"Tomatoes","ASDA Extra Special Sweet Aromatico Tomatoes ","ASDA",2,4.76,"Kg",2019-01-14
"Tomatoes","ASDA Extra Special Baby Plum Tomatoes ","ASDA",1.35,6.14,"Kg",2019-01-14
"Tomatoes","ASDA Extra Special Petite Plum Tomatoes on the Vine ","ASDA",1.35,7.5,"Kg",2019-01-14
"Tomatoes","ASDA Grower's Selection Organic Vine Ripened Cherry Tomatoes ","ASDA",1.6,8,"Kg",2019-01-14
"Tomatoes","Iceland Salad Tomatoes ","Iceland",0.69,0.115,"Each",2019-01-14
"Tomatoes","Iceland Vine Tomatoes ","Iceland",1.29,2.58,"Kg",2019-01-14
"Tomatoes","Iceland Baby Plum Tomatoes ","Iceland",1,2.94,"Kg",2019-01-14
"Tomatoes","Iceland Cherry Tomatoes ","Iceland",1,3.03,"Kg",2019-01-14
"Tomatoes","Cherry Tomatoes ","Lidl",0.75,2.14,"Kg",2019-01-14
"Tomatoes","Lidl Tomatoes ","Lidl",1.49,1.49,"Kg",2019-01-14
"Tomatoes","Scarlet Tomatoes ","Lidl",1.49,5.96,"Kg",2019-01-14
"Tomatoes","Baby Plum Tomatoes ","Lidl",0.68,2.72,"Kg",2019-01-14
"Tomatoes","Sunstream Vine Tomatoes ","Lidl",1.75,7,"Kg",2019-01-14
"Tomatoes","Organic Cherry Tomatoes ","Lidl",0.89,3.56,"Kg",2019-01-14
"Tomatoes","Oaklands Snack Tomatoes ","Lidl",1.29,5.16,"Kg",2019-01-14
"Tomatoes","Lidl Vine Tomatoes by Weight ","Lidl",0.192,1.92,"Kg",2019-01-14
"Tomatoes","Oaklands Organic Vine Tomatoes ","Lidl",1.6,3.2,"Kg",2019-01-14
"Tomatoes","Marvellous Tomatoes ","Lidl",1.89,6.3,"Kg",2019-01-14
"Tomatoes","Morrisons Cherry Tomatoes ","Morrisons",1,2.38,"Kg",2019-01-14
"Tomatoes","Morrisons Salad Tomatoes ","Morrisons",0.72,0.12,"Each",2019-01-14
