"UID","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"280468 Essential Waitrose British Beef Bone in Sirloin Steak (227g)","280468","Essential Waitrose British Beef Bone in Sirloin Steak (227g)","Fresh_Beef","Essential Waitrose British Beef Bone in Sirloin Steak","Ocado",5.25,NA,23.13,"227g","Kg",2019-01-17
"410453 Ocado Gold Angus Beef Ribeye Steak (Approx 454g)","410453","Ocado Gold Angus Beef Ribeye Steak (Approx 454g)","Fresh_Beef","Ocado Gold Angus Beef Ribeye Steak","Ocado",10.9,NA,24.01,"Approx 454g","Kg",2019-01-17
"507237 Waitrose Duchy Organic Beef Roasting Joint (Approx 700g)","507237","Waitrose Duchy Organic Beef Roasting Joint (Approx 700g)","Fresh_Beef","Waitrose Duchy Organic Beef Roasting Joint","Ocado",11.2,NA,16,"Approx 700g","Kg",2019-01-17
"449956 Pure Irish Organic Sirloin Steaks (2 per pack - 420g)","449956","Pure Irish Organic Sirloin Steaks (2 per pack - 420g)","Fresh_Beef","Pure Irish Organic Sirloin Steaks","Ocado",12,NA,28.57,"2 per pack - 420g","Kg",2019-01-17
"370486 Ocado Beef Roasting Joint (Approx 1.25Kg)","370486","Ocado Beef Roasting Joint (Approx 1.25Kg)","Fresh_Beef","Ocado Beef Roasting Joint","Ocado",15,NA,12,"Approx 1.25Kg","Kg",2019-01-17
"368780 Daylesford Organic Beef Brisket Joint (1.2Kg)","368780","Daylesford Organic Beef Brisket Joint (1.2Kg)","Fresh_Beef","Daylesford Organic Beef Brisket Joint","Ocado",16,NA,13.33,"1.2Kg","Kg",2019-01-17
"249505 Ocado Beef Fillet Steak (Approx 200g)","249505","Ocado Beef Fillet Steak (Approx 200g)","Fresh_Beef","Ocado Beef Fillet Steak","Ocado",6.47,NA,32.35,"Approx 200g","Kg",2019-01-17
"NA Brookfield Platinum Whole Beef Fillet (1.2Kg)",NA,"Brookfield Platinum Whole Beef Fillet (1.2Kg)","Fresh_Beef","Brookfield Platinum Whole Beef Fillet","Ocado",45,NA,37.5,"1.2Kg","Kg",2019-01-17
"371455 Ocado Beef Frying Steak Thin Cut (300g)","371455","Ocado Beef Frying Steak Thin Cut (300g)","Fresh_Beef","Ocado Beef Frying Steak Thin Cut","Ocado",3.78,NA,12.6,"300g","Kg",2019-01-17
"293515 Brookfield Farm Osso Bucco (Approx 340g)","293515","Brookfield Farm Osso Bucco (Approx 340g)","Fresh_Beef","Brookfield Farm Osso Bucco","Ocado",6.25,NA,18.38,"Approx 340g","Kg",2019-01-17
"361900 Daylesford Organic Minute Steak (340g)","361900","Daylesford Organic Minute Steak (340g)","Fresh_Beef","Daylesford Organic Minute Steak","Ocado",7.5,NA,22.06,"340g","Kg",2019-01-17
"428842 Essential Waitrose British Beef Topside Roast (Approx 1.3Kg)","428842","Essential Waitrose British Beef Topside Roast (Approx 1.3Kg)","Fresh_Beef","Essential Waitrose British Beef Topside Roast","Ocado",14.4,NA,11.08,"Approx 1.3Kg","Kg",2019-01-17
"NA Eden Beef Rump Joint (Approx 2Kg)",NA,"Eden Beef Rump Joint (Approx 2Kg)","Fresh_Beef","Eden Beef Rump Joint","Ocado",33.98,NA,16.99,"Approx 2Kg","Kg",2019-01-17
"410455 Ocado Gold Angus Beef Sirloin Steak (Approx 454g)","410455","Ocado Gold Angus Beef Sirloin Steak (Approx 454g)","Fresh_Beef","Ocado Gold Angus Beef Sirloin Steak","Ocado",10.22,NA,22.51,"Approx 454g","Kg",2019-01-17
"321054 Haloodies Beef Fillet Steak Halal (2 per pack - 308g)","321054","Haloodies Beef Fillet Steak Halal (2 per pack - 308g)","Fresh_Beef","Haloodies Beef Fillet Steak Halal","Ocado",13.99,NA,45.42,"2 per pack - 308g","Kg",2019-01-17
"285322 Packington Free Range Pork Loin Steaks (340g)","285322","Packington Free Range Pork Loin Steaks (340g)","Fresh_Beef","Packington Free Range Pork Loin Steaks","Ocado",5.69,11.76,16.74,"340g","Kg",2019-01-17
"410451 Ocado Gold Angus Beef Fillet Steak (2 per pack - Approx 382g)","410451","Ocado Gold Angus Beef Fillet Steak (2 per pack - Approx 382g)","Fresh_Beef","Ocado Gold Angus Beef Fillet Steak","Ocado",13.75,NA,35.99,"2 per pack - Approx 382g","Kg",2019-01-17
"333486 Waitrose Duchy Organic British Beef Fillet Steak (Approx 241g)","333486","Waitrose Duchy Organic British Beef Fillet Steak (Approx 241g)","Fresh_Beef","Waitrose Duchy Organic British Beef Fillet Steak","Ocado",11,NA,45.64,"Approx 241g","Kg",2019-01-17
"449955 Pure Irish Organic Rump Steaks (2 per pack - 450g)","449955","Pure Irish Organic Rump Steaks (2 per pack - 450g)","Fresh_Beef","Pure Irish Organic Rump Steaks","Ocado",10,NA,22.22,"2 per pack - 450g","Kg",2019-01-17
"431055 Waitrose 1 C<f4>te de Boeuf Bone in Rib Eye (Approx 700g)","431055","Waitrose 1 C<f4>te de Boeuf Bone in Rib Eye (Approx 700g)","Fresh_Beef","Waitrose 1 C<f4>te de Boeuf Bone in Rib Eye","Ocado",20.99,NA,29.99,"Approx 700g","Kg",2019-01-17
"NA Brookfield Platinum Beef Fillet Steak (199g)",NA,"Brookfield Platinum Beef Fillet Steak (199g)","Fresh_Beef","Brookfield Platinum Beef Fillet Steak","Ocado",9.99,NA,37.64,"199g","Kg",2019-01-17
"481160 Essential Waitrose British Beef Topside Roast (Approx 600g)","481160","Essential Waitrose British Beef Topside Roast (Approx 600g)","Fresh_Beef","Essential Waitrose British Beef Topside Roast","Ocado",9.01,NA,15.02,"Approx 600g","Kg",2019-01-17
"410454 Ocado Gold Angus Beef Rump Steak (Approx 500g)","410454","Ocado Gold Angus Beef Rump Steak (Approx 500g)","Fresh_Beef","Ocado Gold Angus Beef Rump Steak","Ocado",9.25,NA,18.5,"Approx 500g","Kg",2019-01-17
"NA Daylesford Organic Beef Chuck Steak (500g)",NA,"Daylesford Organic Beef Chuck Steak (500g)","Fresh_Beef","Daylesford Organic Beef Chuck Steak","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-17
"456089 Pure Irish Organic Beef Carvery Joint (1.16Kg)","456089","Pure Irish Organic Beef Carvery Joint (1.16Kg)","Fresh_Beef","Pure Irish Organic Beef Carvery Joint","Ocado",16,NA,13.79,"1.16Kg","Kg",2019-01-17
"368781 Daylesford Organic Beef Shin (500g)","368781","Daylesford Organic Beef Shin (500g)","Fresh_Beef","Daylesford Organic Beef Shin","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-17
"NA Brookfield Platinum Beef Chateaubriand (700g)",NA,"Brookfield Platinum Beef Chateaubriand (700g)","Fresh_Beef","Brookfield Platinum Beef Chateaubriand","Ocado",32,NA,45.71,"700g","Kg",2019-01-17
"374326 Daylesford Organic Sirloin Steak (340g)","374326","Daylesford Organic Sirloin Steak (340g)","Fresh_Beef","Daylesford Organic Sirloin Steak","Ocado",11.5,NA,33.82,"340g","Kg",2019-01-17
"NA Waitrose Aberdeen Angus Beef Skirt (Approx 550g)",NA,"Waitrose Aberdeen Angus Beef Skirt (Approx 550g)","Fresh_Beef","Waitrose Aberdeen Angus Beef Skirt","Ocado",6.59,NA,11.98,"Approx 550g","Kg",2019-01-17
"NA Ocado Beef Roasting Joint (Approx 850g)",NA,"Ocado Beef Roasting Joint (Approx 850g)","Fresh_Beef","Ocado Beef Roasting Joint","Ocado",10.19,NA,11.99,"Approx 850g","Kg",2019-01-17
"448090 Sainsbury's Beef Rump Steak (225g)","448090","Sainsbury's Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Beef Rump Steak","Sainsburys",2.8,NA,11.11,"225g","Kg",2019-01-17
"526198 Sainsbury's Extra Lean Casserole Beef Steak (400g)","526198","Sainsbury's Extra Lean Casserole Beef Steak (400g)","Fresh_Beef","Sainsbury's Extra Lean Casserole Beef Steak","Sainsburys",4.25,NA,10.63,"400g","Kg",2019-01-17
"497796 Sainsbury's Beef Silverside Steak (175g)","497796","Sainsbury's Beef Silverside Steak (175g)","Fresh_Beef","Sainsbury's Beef Silverside Steak","Sainsburys",2.15,NA,12.29,"175g","Kg",2019-01-17
"368547 Sainsbury's Beef Sirloin Steak (225g)","368547","Sainsbury's Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Beef Sirloin Steak","Sainsburys",4.75,NA,21.11,"225g","Kg",2019-01-17
"497798 Sainsbury's Beef Silverside Steak (2 per pack - 350g)","497798","Sainsbury's Beef Silverside Steak (2 per pack - 350g)","Fresh_Beef","Sainsbury's Beef Silverside Steak","Sainsburys",3.75,NA,10.71,"2 per pack - 350g","Kg",2019-01-17
"525713 Sainsbury's 21 Day Matured Slow Beef Roast (Approx 1.24Kg)","525713","Sainsbury's 21 Day Matured Slow Beef Roast (Approx 1.24Kg)","Fresh_Beef","Sainsbury's 21 Day Matured Slow Beef Roast","Sainsburys",9.92,NA,8,"Approx 1.24Kg","Kg",2019-01-17
"525709 Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint (Approx 1.24Kg)","525709","Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Large Unfatted Topside/Top Rump Beef Roasting Joint","Sainsburys",11.16,NA,9,"Approx 1.24Kg","Kg",2019-01-17
"501241 Sainsbury's Beef Brisket (Approx 1.7Kg)","501241","Sainsbury's Beef Brisket (Approx 1.7Kg)","Fresh_Beef","Sainsbury's Beef Brisket","Sainsburys",14.45,NA,8.5,"Approx 1.7Kg","Kg",2019-01-17
"505419 Sainsbury's Fatted Beef Roasting Joint (500g)","505419","Sainsbury's Fatted Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Fatted Beef Roasting Joint","Sainsburys",5.5,NA,11,"500g","Kg",2019-01-17
"499125 Sainsbury's Flat Iron Steak (225g)","499125","Sainsbury's Flat Iron Steak (225g)","Fresh_Beef","Sainsbury's Flat Iron Steak","Sainsburys",3.5,NA,15.56,"225g","Kg",2019-01-17
"505413 Sainsbury's Organic Beef Roasting Joint (600g)","505413","Sainsbury's Organic Beef Roasting Joint (600g)","Fresh_Beef","Sainsbury's Organic Beef Roasting Joint","Sainsburys",7.5,NA,12.5,"600g","Kg",2019-01-17
"497800 Sainsbury's Extra Lean Beef Roasting Joint (500g)","497800","Sainsbury's Extra Lean Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Extra Lean Beef Roasting Joint","Sainsburys",6.5,NA,13,"500g","Kg",2019-01-17
"029523 Sainsbury's British Exra Lean Beef Escalopes (300g)","029523","Sainsbury's British Exra Lean Beef Escalopes (300g)","Fresh_Beef","Sainsbury's British Exra Lean Beef Escalopes","Sainsburys",4.2,NA,14,"300g","Kg",2019-01-17
"448095 Sainsbury's Organic Beef Sirloin Steak (225g)","448095","Sainsbury's Organic Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Organic Beef Sirloin Steak","Sainsburys",5.75,NA,25.56,"225g","Kg",2019-01-17
"525475 Sainsbury's 21 Day Matured Ribeye Steak (225g)","525475","Sainsbury's 21 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's 21 Day Matured Ribeye Steak","Sainsburys",4.5,NA,20,"225g","Kg",2019-01-17
"525472 Sainsbury's 21 Day Matured Beef Medallion Steak (340g)","525472","Sainsbury's 21 Day Matured Beef Medallion Steak (340g)","Fresh_Beef","Sainsbury's 21 Day Matured Beef Medallion Steak","Sainsburys",5.25,NA,15.44,"340g","Kg",2019-01-17
"442095 Sainsbury's Taste the Difference Beef Rump Steak (225g)","442095","Sainsbury's Taste the Difference Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Rump Steak","Sainsburys",3.7,NA,16.44,"225g","Kg",2019-01-17
"448098 Sainsbury's Taste the Difference Beef Sirloin Steak (225g)","448098","Sainsbury's Taste the Difference Beef Sirloin Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Sirloin Steak","Sainsburys",5.5,NA,24.44,"225g","Kg",2019-01-17
"526177 Sainsbury's 21 Day Matured Beef Fillet Steak (170g)","526177","Sainsbury's 21 Day Matured Beef Fillet Steak (170g)","Fresh_Beef","Sainsbury's 21 Day Matured Beef Fillet Steak","Sainsburys",4.9,NA,28.82,"170g","Kg",2019-01-17
"259020 Sainsbury's Beef Boneless Rib Roast (Approx 1Kg)","259020","Sainsbury's Beef Boneless Rib Roast (Approx 1Kg)","Fresh_Beef","Sainsbury's Beef Boneless Rib Roast","Sainsburys",14.56,NA,14.56,"Approx 1Kg","Kg",2019-01-17
"339624 Sainsbury's Beef Fillet Steak (2 per pack - Approx 300g)","339624","Sainsbury's Beef Fillet Steak (2 per pack - Approx 300g)","Fresh_Beef","Sainsbury's Beef Fillet Steak","Sainsburys",9.45,NA,31.5,"2 per pack - Approx 300g","Kg",2019-01-17
"526178 Sainsbury's 21 Day Matured Thin Cut Sirloin Steak (155g)","526178","Sainsbury's 21 Day Matured Thin Cut Sirloin Steak (155g)","Fresh_Beef","Sainsbury's 21 Day Matured Thin Cut Sirloin Steak","Sainsburys",3.25,NA,19.35,"155g","Kg",2019-01-17
"525482 Sainsbury's Organic 30 Day Matured Ribeye Steak (225g)","525482","Sainsbury's Organic 30 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's Organic 30 Day Matured Ribeye Steak","Sainsburys",5.75,NA,25.56,"225g","Kg",2019-01-17
"505402 Sainsbury's Taste the Difference Beef Roasting Joint (500g)","505402","Sainsbury's Taste the Difference Beef Roasting Joint (500g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Roasting Joint","Sainsburys",7,NA,14,"500g","Kg",2019-01-17
"525483 Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak (225g)","525483","Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Ribeye Steak","Sainsburys",5.35,NA,23.78,"225g","Kg",2019-01-17
"525477 Sainsbury's Taste the Difference 30 Day Matured Fillet Steak (170g)","525477","Sainsbury's Taste the Difference 30 Day Matured Fillet Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Fillet Steak","Sainsburys",5.9,NA,34.71,"170g","Kg",2019-01-17
"525724 Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint (Approx 1.24Kg)","525724","Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured British Beef Roasting Joint","Sainsburys",12.4,NA,10,"Approx 1.24Kg","Kg",2019-01-17
"525725 Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint (Approx 1.24Kg)","525725","Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint (Approx 1.24Kg)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured British Beef Slow Roasting Joint","Sainsburys",14.26,NA,11.5,"Approx 1.24Kg","Kg",2019-01-17
"342544 Sainsbury's Taste the Difference Beef Fillet Steak (2 per pack - Approx 340g)","342544","Sainsbury's Taste the Difference Beef Fillet Steak (2 per pack - Approx 340g)","Fresh_Beef","Sainsbury's Taste the Difference Beef Fillet Steak","Sainsburys",12.24,NA,36,"2 per pack - Approx 340g","Kg",2019-01-17
"526179 Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak (155g)","526179","Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak (155g)","Fresh_Beef","Sainsbury's Taste the Difference 30 Day Matured Thin Cut Sirloin Steak","Sainsburys",3.6,NA,23.23,"155g","Kg",2019-01-17
"447982 Sainsbury's Organic Beef Rump Steak (225g)","447982","Sainsbury's Organic Beef Rump Steak (225g)","Fresh_Beef","Sainsbury's Organic Beef Rump Steak","Sainsburys",5.25,NA,23.33,"225g","Kg",2019-01-17
"505403 Sainsbury's Taste the Difference Picanha Steak (225g)","505403","Sainsbury's Taste the Difference Picanha Steak (225g)","Fresh_Beef","Sainsbury's Taste the Difference Picanha Steak","Sainsburys",4.75,NA,21.11,"225g","Kg",2019-01-17
"525476 Sainsbury's Organic 30 Day Matured Fillet Steak (170g)","525476","Sainsbury's Organic 30 Day Matured Fillet Steak (170g)","Fresh_Beef","Sainsbury's Organic 30 Day Matured Fillet Steak","Sainsburys",6,NA,35.29,"170g","Kg",2019-01-17
"505398 Sainsbury's Taste the Difference Bone-In Rib Eye Steak (Approx 1Kg)","505398","Sainsbury's Taste the Difference Bone-In Rib Eye Steak (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Bone-In Rib Eye Steak","Sainsburys",22,NA,22,"Approx 1Kg","Kg",2019-01-17
"505400 Sainsbury's Taste the Difference Bone-In Sirloin Steak (Approx 1Kg)","505400","Sainsbury's Taste the Difference Bone-In Sirloin Steak (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Bone-In Sirloin Steak","Sainsburys",20,NA,20,"Approx 1Kg","Kg",2019-01-17
"487869 Sainsbury's Taste the Difference Veal Escalope (250g)","487869","Sainsbury's Taste the Difference Veal Escalope (250g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Escalope","Sainsburys",8.5,NA,34,"250g","Kg",2019-01-17
"487281 Sainsbury's Taste the Difference Veal Roasting Joint (Approx 1Kg)","487281","Sainsbury's Taste the Difference Veal Roasting Joint (Approx 1Kg)","Fresh_Beef","Sainsbury's Taste the Difference Veal Roasting Joint","Sainsburys",25,NA,25,"Approx 1Kg","Kg",2019-01-17
"487282 Sainsbury's Taste the Difference Veal Rump Steak (170g)","487282","Sainsbury's Taste the Difference Veal Rump Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Rump Steak","Sainsburys",6.5,NA,38.24,"170g","Kg",2019-01-17
"487870 Sainsbury's Taste the Difference Veal Sirloin Steak (170g)","487870","Sainsbury's Taste the Difference Veal Sirloin Steak (170g)","Fresh_Beef","Sainsbury's Taste the Difference Veal Sirloin Steak","Sainsburys",7.5,NA,44.12,"170g","Kg",2019-01-17
"521168 Tesco Rump Steak (255g)","521168","Tesco Rump Steak (255g)","Fresh_Beef","Tesco Rump Steak","Tesco",3.8,NA,12.94,"255g","Kg",2019-01-17
"521169 Tesco Sirloin Steak (226g)","521169","Tesco Sirloin Steak (226g)","Fresh_Beef","Tesco Sirloin Steak","Tesco",3.8,NA,16.81,"226g","Kg",2019-01-17
"537159 Tesco Boswell Farms Carvery Beef Joint (1Kg)","537159","Tesco Boswell Farms Carvery Beef Joint (1Kg)","Fresh_Beef","Tesco Boswell Farms Carvery Beef Joint","Tesco",5.99,NA,5.99,"1Kg","Kg",2019-01-17
"428253 Tesco Boswell Farms Thin Cut Beef Steak (395g)","428253","Tesco Boswell Farms Thin Cut Beef Steak (395g)","Fresh_Beef","Tesco Boswell Farms Thin Cut Beef Steak","Tesco",3.28,NA,8.3,"395g","Kg",2019-01-17
"428246 Tesco Boswell Farms Beef Medallion Steak (340g)","428246","Tesco Boswell Farms Beef Medallion Steak (340g)","Fresh_Beef","Tesco Boswell Farms Beef Medallion Steak","Tesco",2.85,NA,8.38,"340g","Kg",2019-01-17
"239899 Tesco Beef Brisket (Approx 600g)","239899","Tesco Beef Brisket (Approx 600g)","Fresh_Beef","Tesco Beef Brisket","Tesco",5.4,NA,9,"Approx 600g","Kg",2019-01-17
"279339 Tesco Silverside Beef Joint (500g)","279339","Tesco Silverside Beef Joint (500g)","Fresh_Beef","Tesco Silverside Beef Joint","Tesco",6,NA,12,"500g","Kg",2019-01-17
"521160 Tesco Boswell Farms Casserole Steak (400g)","521160","Tesco Boswell Farms Casserole Steak (400g)","Fresh_Beef","Tesco Boswell Farms Casserole Steak","Tesco",3.29,NA,8.23,"400g","Kg",2019-01-17
"NA Tesco Boswell Farms Rump Steak (227g)",NA,"Tesco Boswell Farms Rump Steak (227g)","Fresh_Beef","Tesco Boswell Farms Rump Steak","Tesco",2.34,NA,10.31,"227g","Kg",2019-01-17
"428252 Tesco Boswell Farms Sirloin Steak (195g)","428252","Tesco Boswell Farms Sirloin Steak (195g)","Fresh_Beef","Tesco Boswell Farms Sirloin Steak","Tesco",2.59,NA,13.28,"195g","Kg",2019-01-17
"428250 Tesco Boswell Farms Ribeye Steak (195g)","428250","Tesco Boswell Farms Ribeye Steak (195g)","Fresh_Beef","Tesco Boswell Farms Ribeye Steak","Tesco",3,NA,15.38,"195g","Kg",2019-01-17
"441820 Tesco Counter British Beef Brisket Joint (Approx 800g)","441820","Tesco Counter British Beef Brisket Joint (Approx 800g)","Fresh_Beef","Tesco Counter British Beef Brisket Joint","Tesco",5.7,NA,7.13,"Approx 800g","Kg",2019-01-17
"537411 Tesco Beef Roasting Joint with Basting Fat (Approx 1Kg)","537411","Tesco Beef Roasting Joint with Basting Fat (Approx 1Kg)","Fresh_Beef","Tesco Beef Roasting Joint with Basting Fat","Tesco",11,NA,11,"Approx 1Kg","Kg",2019-01-17
"521163 Tesco British Beef Sirloin Steak (2 per pack - 454g)","521163","Tesco British Beef Sirloin Steak (2 per pack - 454g)","Fresh_Beef","Tesco British Beef Sirloin Steak","Tesco",7.5,NA,16.52,"2 per pack - 454g","Kg",2019-01-17
"261355 Tesco Finest British Beef Rump Steak (Approx 200g)","261355","Tesco Finest British Beef Rump Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Beef Rump Steak","Tesco",3.8,NA,19,"Approx 200g","Kg",2019-01-17
"403364 Tesco Beef Top Rump Roasting Joint with Basting Fat (Approx 600g)","403364","Tesco Beef Top Rump Roasting Joint with Basting Fat (Approx 600g)","Fresh_Beef","Tesco Beef Top Rump Roasting Joint with Basting Fat","Tesco",6.9,NA,11.5,"Approx 600g","Kg",2019-01-17
"NA Tesco British Beef Fillet Steak (170g)",NA,"Tesco British Beef Fillet Steak (170g)","Fresh_Beef","Tesco British Beef Fillet Steak","Tesco",5.5,NA,32.35,"170g","Kg",2019-01-17
"269260 Tesco Counter Beef Sirloin Joint (200g)","269260","Tesco Counter Beef Sirloin Joint (200g)","Fresh_Beef","Tesco Counter Beef Sirloin Joint","Tesco",2.68,NA,13.4,"200g","Kg",2019-01-17
"529255 Tesco Counter British Beef Ribeye (200g)","529255","Tesco Counter British Beef Ribeye (200g)","Fresh_Beef","Tesco Counter British Beef Ribeye","Tesco",2.85,NA,14.25,"200g","Kg",2019-01-17
"NA Tesco British Beef Ribeye Steak (227g)",NA,"Tesco British Beef Ribeye Steak (227g)","Fresh_Beef","Tesco British Beef Ribeye Steak","Tesco",4.5,NA,19.82,"227g","Kg",2019-01-17
"232394 Tesco Deli Counter Beef Fillet (120g)","232394","Tesco Deli Counter Beef Fillet (120g)","Fresh_Beef","Tesco Deli Counter Beef Fillet","Tesco",3.72,NA,31,"120g","Kg",2019-01-17
"484938 Tesco Finest Beef Roasting Joint (Approx 600g)","484938","Tesco Finest Beef Roasting Joint (Approx 600g)","Fresh_Beef","Tesco Finest Beef Roasting Joint","Tesco",8.1,NA,13.5,"Approx 600g","Kg",2019-01-17
"232412 Tesco Deli Counter Beef Rump Steak (Approx 200g)","232412","Tesco Deli Counter Beef Rump Steak (Approx 200g)","Fresh_Beef","Tesco Deli Counter Beef Rump Steak","Tesco",3.18,NA,15.9,"Approx 200g","Kg",2019-01-17
"261352 Tesco Organic Beef Rump Steak (Approx 170g)","261352","Tesco Organic Beef Rump Steak (Approx 170g)","Fresh_Beef","Tesco Organic Beef Rump Steak","Tesco",3.4,NA,20,"Approx 170g","Kg",2019-01-17
"373534 Tesco Organic Roasting Joint (Approx 900g)","373534","Tesco Organic Roasting Joint (Approx 900g)","Fresh_Beef","Tesco Organic Roasting Joint","Tesco",11.7,NA,13,"Approx 900g","Kg",2019-01-17
"231025 Tesco Counter British Beef Fillet (Approx 100g)","231025","Tesco Counter British Beef Fillet (Approx 100g)","Fresh_Beef","Tesco Counter British Beef Fillet","Tesco",2.95,NA,29.5,"Approx 100g","Kg",2019-01-17
"NA Tesco British Beef Rump Steaks (2 per pack - 510g)",NA,"Tesco British Beef Rump Steaks (2 per pack - 510g)","Fresh_Beef","Tesco British Beef Rump Steaks","Tesco",7.5,NA,13.24,"2 per pack - 510g","Kg",2019-01-17
"519993 Tesco Finest British Beef Rump Steak (2 per pack - 350g)","519993","Tesco Finest British Beef Rump Steak (2 per pack - 350g)","Fresh_Beef","Tesco Finest British Beef Rump Steak","Tesco",6.47,NA,18.49,"2 per pack - 350g","Kg",2019-01-17
"439469 Tesco Finest Beef Ribeye Steak (Approx 270g)","439469","Tesco Finest Beef Ribeye Steak (Approx 270g)","Fresh_Beef","Tesco Finest Beef Ribeye Steak","Tesco",6.48,NA,24,"Approx 270g","Kg",2019-01-17
"250242 Tesco Finest British Beef Fillet Steak (Approx 200g)","250242","Tesco Finest British Beef Fillet Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Beef Fillet Steak","Tesco",7.2,NA,36,"Approx 200g","Kg",2019-01-17
"231075 Tesco Finest British Sirloin Steak (Approx 200g)","231075","Tesco Finest British Sirloin Steak (Approx 200g)","Fresh_Beef","Tesco Finest British Sirloin Steak","Tesco",4.6,NA,23,"Approx 200g","Kg",2019-01-17
"261350 Tesco Finest British Beef Sirloin Steak (2 per pack - 350g)","261350","Tesco Finest British Beef Sirloin Steak (2 per pack - 350g)","Fresh_Beef","Tesco Finest British Beef Sirloin Steak","Tesco",7.88,NA,22.51,"2 per pack - 350g","Kg",2019-01-17
"NA Tesco Boswell Farms Beef Steak (227g)",NA,"Tesco Boswell Farms Beef Steak (227g)","Fresh_Beef","Tesco Boswell Farms Beef Steak","Tesco",2.49,NA,10.97,"227g","Kg",2019-01-17
"261332 Tesco Organic Beef Ribeye Steak (200g)","261332","Tesco Organic Beef Ribeye Steak (200g)","Fresh_Beef","Tesco Organic Beef Ribeye Steak","Tesco",4.9,NA,24.5,"200g","Kg",2019-01-17
"519899 Tesco Finest Aberdeen Angus Cote de Boeuf (500g)","519899","Tesco Finest Aberdeen Angus Cote de Boeuf (500g)","Fresh_Beef","Tesco Finest Aberdeen Angus Cote de Boeuf","Tesco",12,NA,24,"500g","Kg",2019-01-17
"302682 Nature's Fruit Snack Pack White Grapes (170g)","302682","Nature's Fruit Snack Pack White Grapes (170g)","Grapes","Nature's Fruit Snack Pack White Grapes","Aldi",0.59,NA,3.47,"170g","Kg",2019-01-17
"542691 ASDA Farm Stores Seeded Grapes (400g)","542691","ASDA Farm Stores Seeded Grapes (400g)","Grapes","ASDA Farm Stores Seeded Grapes","ASDA",1,NA,2.5,"400g","Kg",2019-01-17
"542692 ASDA Grower's Selection Black Seedless Grapes (400g)","542692","ASDA Grower's Selection Black Seedless Grapes (400g)","Grapes","ASDA Grower's Selection Black Seedless Grapes","ASDA",1.2,2.5,3,"400g","Kg",2019-01-17
"542693 ASDA Grower's Selection Seedless Green Grapes (400g)","542693","ASDA Grower's Selection Seedless Green Grapes (400g)","Grapes","ASDA Grower's Selection Seedless Green Grapes","ASDA",1.2,2.5,3,"400g","Kg",2019-01-17
"542694 ASDA Grower's Selection Seedless Red Grapes (400g)","542694","ASDA Grower's Selection Seedless Red Grapes (400g)","Grapes","ASDA Grower's Selection Seedless Red Grapes","ASDA",1.2,2.5,3,"400g","Kg",2019-01-17
"024309 ASDA Grapes (80g)","024309","ASDA Grapes (80g)","Grapes","ASDA Grapes","ASDA",0.4,NA,5,"80g","Kg",2019-01-17
"NA Iceland White Seedless Grapes (500g)",NA,"Iceland White Seedless Grapes (500g)","Grapes","Iceland White Seedless Grapes","Iceland",2,NA,4,"500g","Kg",2019-01-17
