"UID","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"107674 Sainsbury's Ripe & Ready Avocados (2)","107674","Sainsbury's Ripe & Ready Avocados (2)","Avocado","Sainsbury's Ripe & Ready Avocados","Sainsburys",1.95,NA,0.975,"2","Each",2019-01-17
"050185 Sainsbury's Organic Avocados (2)","050185","Sainsbury's Organic Avocados (2)","Avocado","Sainsbury's Organic Avocados","Sainsburys",2.5,NA,1.13,"2","Each",2019-01-17
"360128 Sainsbury's Ripe & Ready Avocados (4)","360128","Sainsbury's Ripe & Ready Avocados (4)","Avocado","Sainsbury's Ripe & Ready Avocados","Sainsburys",2.95,NA,0.675,"4","Each",2019-01-17
"025155 Sainsbury's Ripe & Ready Large Hass Avocado","025155","Sainsbury's Ripe & Ready Large Hass Avocado","Avocado","Sainsbury's Ripe & Ready Large Hass Avocado","Sainsburys",1.15,NA,1.15,"1","Each",2019-01-17
"026544 Tesco Ripen at Home Avocado (4)","026544","Tesco Ripen at Home Avocado (4)","Avocado","Tesco Ripen at Home Avocado","Tesco",1.75,NA,0.438,"4","Each",2019-01-17
"046732 Tesco Medium Avocado Ready to Eat","046732","Tesco Medium Avocado Ready to Eat","Avocado","Tesco Medium Avocado Ready to Eat","Tesco",0.85,NA,0.49,"1","Each",2019-01-17
"130465 Tesco Ready to Eat Haas Avocados (2)","130465","Tesco Ready to Eat Haas Avocados (2)","Avocado","Tesco Ready to Eat Haas Avocados","Tesco",1.75,NA,0.875,"2","Each",2019-01-17
"130463 Tesco Ready to Eat Large Avocado","130463","Tesco Ready to Eat Large Avocado","Avocado","Tesco Ready to Eat Large Avocado","Tesco",1,NA,1,"1","Each",2019-01-17
"026486 Tesco Organic Avocados Ripe and Ready (2)","026486","Tesco Organic Avocados Ripe and Ready (2)","Avocado","Tesco Organic Avocados Ripe and Ready","Tesco",2.5,NA,1.25,"2","Each",2019-01-17
"291262 Tesco Ready to Eat Extra Large Avocados","291262","Tesco Ready to Eat Extra Large Avocados","Avocado","Tesco Ready to Eat Extra Large Avocados","Tesco",1.75,NA,1.75,"1","Each",2019-01-17
"096945 ASDA Grower's Selection Blackberries (150g)","096945","ASDA Grower's Selection Blackberries (150g)","Blackberries","ASDA Grower's Selection Blackberries","ASDA",1.89,NA,12.6,"150g","Kg",2019-01-17
"NA Driscoll's Premium Blackberries (125g)",NA,"Driscoll's Premium Blackberries (125g)","Blackberries","Driscoll's Premium Blackberries","Lidl",1.99,NA,15.92,"125g","Kg",2019-01-17
"210697 Morrisons Blackberries (150g)","210697","Morrisons Blackberries (150g)","Blackberries","Morrisons Blackberries","Morrisons",2,NA,13.33,"150g","Kg",2019-01-17
"269211 Ocado Blackberries (150g)","269211","Ocado Blackberries (150g)","Blackberries","Ocado Blackberries","Ocado",2,NA,13.33,"150g","Kg",2019-01-17
"401395 BerryWorld Blackberries (150g)","401395","BerryWorld Blackberries (150g)","Blackberries","BerryWorld Blackberries","Ocado",3,16.67,20,"150g","Kg",2019-01-17
"078100 Sainsbury's Tangy Blackberries (150g)","078100","Sainsbury's Tangy Blackberries (150g)","Blackberries","Sainsbury's Tangy Blackberries","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-17
"050162 Sainsbury's Tangy Blackberries (225g)","050162","Sainsbury's Tangy Blackberries (225g)","Blackberries","Sainsbury's Tangy Blackberries","Sainsburys",2.85,NA,12.67,"225g","Kg",2019-01-17
"293532 Tesco Blackberries (150g)","293532","Tesco Blackberries (150g)","Blackberries","Tesco Blackberries","Tesco",2,NA,13.33,"150g","Kg",2019-01-17
"428013 Tesco Rosedene Farms Blackberries (150g)","428013","Tesco Rosedene Farms Blackberries (150g)","Blackberries","Tesco Rosedene Farms Blackberries","Tesco",1.49,NA,9.93,"150g","Kg",2019-01-17
"214120 ASDA Grower's Selection Blueberries (200g)","214120","ASDA Grower's Selection Blueberries (200g)","Blueberries","ASDA Grower's Selection Blueberries","ASDA",2.39,NA,8,"200g","Kg",2019-01-17
