"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"428759 Natoora Organic Large Ripe Avocados (2)",0,0,"428759","Natoora Organic Large Ripe Avocados (2)","Avocado","Natoora Organic Large Ripe Avocados ","Ocado",5.5,NA,2.75,"2","Each",2019-01-21
"454081 Wholegood Organic Avocado (2)",0,0,"454081","Wholegood Organic Avocado (2)","Avocado","Wholegood Organic Avocado ","Ocado",3.29,NA,1.65,"2","Each",2019-01-21
"NA Natoora Organic Spanish Avocado (2)",NA,NA,"NA","Natoora Organic Spanish Avocado (2)","Avocado","Natoora Organic Spanish Avocado ","Ocado",2.5,NA,1,"2","Each",2019-01-21
"398635 Sainsbury's Ripen at Home Avocado (4)",0,0,"398635","Sainsbury's Ripen at Home Avocado (4)","Avocado","Sainsbury's Ripen at Home Avocado ","Sainsburys",1.85,NA,0.463,"4","Each",2019-01-21
"107674 Sainsbury's Ripe & Ready Avocados (2)",0,0,"107674","Sainsbury's Ripe & Ready Avocados (2)","Avocado","Sainsbury's Ripe & Ready Avocados ","Sainsburys",1.95,NA,0.975,"2","Each",2019-01-21
"050185 Sainsbury's Organic Avocados (2)",0,0,"050185","Sainsbury's Organic Avocados (2)","Avocado","Sainsbury's Organic Avocados ","Sainsburys",2.5,NA,1.13,"2","Each",2019-01-21
"360128 Sainsbury's Ripe & Ready Avocados (4)",0,0,"360128","Sainsbury's Ripe & Ready Avocados (4)","Avocado","Sainsbury's Ripe & Ready Avocados ","Sainsburys",2.95,NA,0.675,"4","Each",2019-01-21
"025155 Sainsbury's Ripe & Ready Large Hass Avocado",0,0,"025155","Sainsbury's Ripe & Ready Large Hass Avocado","Avocado","Sainsbury's Ripe & Ready Large Hass Avocado","Sainsburys",1.15,NA,1.15,"1","Each",2019-01-21
"026544 Tesco Ripen at Home Avocado (4)",0,0,"026544","Tesco Ripen at Home Avocado (4)","Avocado","Tesco Ripen at Home Avocado ","Tesco",1.75,NA,0.438,"4","Each",2019-01-21
"046732 Tesco Medium Avocado Ready to Eat",0,0,"046732","Tesco Medium Avocado Ready to Eat","Avocado","Tesco Medium Avocado Ready to Eat","Tesco",0.85,NA,0.49,"1","Each",2019-01-21
"130465 Tesco Ready to Eat Haas Avocados (2)",0,0,"130465","Tesco Ready to Eat Haas Avocados (2)","Avocado","Tesco Ready to Eat Haas Avocados ","Tesco",1.75,NA,0.875,"2","Each",2019-01-21
"130463 Tesco Ready to Eat Large Avocado",0,0,"130463","Tesco Ready to Eat Large Avocado","Avocado","Tesco Ready to Eat Large Avocado","Tesco",1,NA,1,"1","Each",2019-01-21
"026486 Tesco Organic Avocados Ripe and Ready (2)",0,0,"026486","Tesco Organic Avocados Ripe and Ready (2)","Avocado","Tesco Organic Avocados Ripe and Ready ","Tesco",2.5,NA,1.25,"2","Each",2019-01-21
"291262 Tesco Ready to Eat Extra Large Avocados",0,0,"291262","Tesco Ready to Eat Extra Large Avocados","Avocado","Tesco Ready to Eat Extra Large Avocados","Tesco",1.75,NA,1.75,"1","Each",2019-01-21
"096945 ASDA Grower's Selection Blackberries (150g)",0,0,"096945","ASDA Grower's Selection Blackberries (150g)","Blackberries","ASDA Grower's Selection Blackberries ","ASDA",1.89,NA,12.6,"150g","Kg",2019-01-21
"NA Driscoll's Premium Blackberries (125g)",0,0,"NA","Driscoll's Premium Blackberries (125g)","Blackberries","Driscoll's Premium Blackberries ","Lidl",1.99,NA,15.92,"125g","Kg",2019-01-21
"210697 Morrisons Blackberries (150g)",0,0,"210697","Morrisons Blackberries (150g)","Blackberries","Morrisons Blackberries ","Morrisons",2,NA,13.33,"150g","Kg",2019-01-21
"269211 Ocado Blackberries (150g)",0,0,"269211","Ocado Blackberries (150g)","Blackberries","Ocado Blackberries ","Ocado",2,NA,13.33,"150g","Kg",2019-01-21
"401395 BerryWorld Blackberries (150g)",0,0,"401395","BerryWorld Blackberries (150g)","Blackberries","BerryWorld Blackberries ","Ocado",3,16.67,20,"150g","Kg",2019-01-21
"NA Waitrose 1 Speciality Blackberries (150g)",NA,NA,"NA","Waitrose 1 Speciality Blackberries (150g)","Blackberries","Waitrose 1 Speciality Blackberries ","Ocado",3,NA,20,"150g","Kg",2019-01-21
"078100 Sainsbury's Tangy Blackberries (150g)",0,0,"078100","Sainsbury's Tangy Blackberries (150g)","Blackberries","Sainsbury's Tangy Blackberries ","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-21
"050162 Sainsbury's Tangy Blackberries (225g)",0,0,"050162","Sainsbury's Tangy Blackberries (225g)","Blackberries","Sainsbury's Tangy Blackberries ","Sainsburys",2.85,NA,12.67,"225g","Kg",2019-01-21
"428013 Tesco Rosedene Farms Blackberries (150g)",0,0,"428013","Tesco Rosedene Farms Blackberries (150g)","Blackberries","Tesco Rosedene Farms Blackberries ","Tesco",1.49,NA,9.93,"150g","Kg",2019-01-21
"214120 ASDA Grower's Selection Blueberries (200g)",0,0,"214120","ASDA Grower's Selection Blueberries (200g)","Blueberries","ASDA Grower's Selection Blueberries ","ASDA",2.39,NA,8,"200g","Kg",2019-01-21
"479720 ASDA Farm Stores Blueberries (125g)",0,0,"479720","ASDA Farm Stores Blueberries (125g)","Blueberries","ASDA Farm Stores Blueberries ","ASDA",1.59,NA,8,"125g","Kg",2019-01-21
"479766 ASDA Grower's Selection Organic Blueberries (125g)",0,0,"479766","ASDA Grower's Selection Organic Blueberries (125g)","Blueberries","ASDA Grower's Selection Organic Blueberries ","ASDA",2.39,NA,19.12,"125g","Kg",2019-01-21
"NA Iceland 50% Extra Free Blueberries (150g)",NA,NA,"NA","Iceland 50% Extra Free Blueberries (150g)","Blueberries","Iceland 50% Extra Free Blueberries ","Iceland",2,NA,13.33,"150g","Kg",2019-01-21
"NA Blueberries (250g)",0,0,"NA","Blueberries (250g)","Blueberries","Blueberries ","Lidl",1.99,NA,7.96,"250g","Kg",2019-01-21
"477747 Blueberries (150g)",0,0,"477747","Blueberries (150g)","Blueberries","Blueberries ","Lidl",1.58,NA,10.53,"150g","Kg",2019-01-21
"454739 Oaklands Blueberries (125g)",0,0,"454739","Oaklands Blueberries (125g)","Blueberries","Oaklands Blueberries ","Lidl",1.99,NA,15.92,"125g","Kg",2019-01-21
"538361 Morrisons Blueberries (125g)",0,0,"538361","Morrisons Blueberries (125g)","Blueberries","Morrisons Blueberries ","Morrisons",2,NA,16,"125g","Kg",2019-01-21
"293508 Morrisons Blueberries (350g)",0,0,"293508","Morrisons Blueberries (350g)","Blueberries","Morrisons Blueberries ","Morrisons",3.25,NA,9.29,"350g","Kg",2019-01-21
"NA Morrisons The Best Blueberries (150g)",0,0,"NA","Morrisons The Best Blueberries (150g)","Blueberries","Morrisons The Best Blueberries ","Morrisons",2.75,NA,18.33,"150g","Kg",2019-01-21
"174961 Ocado Blueberries (300g)",NA,NA,"174961","Ocado Blueberries (300g)","Blueberries","Ocado Blueberries ","Ocado",3,NA,10,"300g","Kg",2019-01-21
"403347 Ocado Blueberries (200g)",NA,NA,"403347","Ocado Blueberries (200g)","Blueberries","Ocado Blueberries ","Ocado",1.99,NA,9.95,"200g","Kg",2019-01-21
"428758 Waitrose Blueberries (225g)",0,0,"428758","Waitrose Blueberries (225g)","Blueberries","Waitrose Blueberries ","Ocado",3.5,NA,15.56,"225g","Kg",2019-01-21
"484929 Waitrose Blueberries (150g)",0,0,"484929","Waitrose Blueberries (150g)","Blueberries","Waitrose Blueberries ","Ocado",2.5,NA,16.67,"150g","Kg",2019-01-21
"401398 BerryWorld Blueberries (150g)",0,0,"401398","BerryWorld Blueberries (150g)","Blueberries","BerryWorld Blueberries ","Ocado",3,16.67,20,"150g","Kg",2019-01-21
"538915 Waitrose Duchy Organic Blueberries (125g)",0,0,"538915","Waitrose Duchy Organic Blueberries (125g)","Blueberries","Waitrose Duchy Organic Blueberries ","Ocado",2.5,NA,20,"125g","Kg",2019-01-21
"NA Ocado Organic Blueberries (125g)",NA,NA,"NA","Ocado Organic Blueberries (125g)","Blueberries","Ocado Organic Blueberries ","Ocado",2.25,NA,18,"125g","Kg",2019-01-21
"046577 Sainsbury's Blueberries (150g)",0,0,"046577","Sainsbury's Blueberries (150g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-21
"227356 Sainsbury's Blueberries (400g)",0,0,"227356","Sainsbury's Blueberries (400g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",3.5,NA,8.75,"400g","Kg",2019-01-21
"381118 Sainsbury's Blueberries (100g)",0,0,"381118","Sainsbury's Blueberries (100g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",1.1,NA,11,"100g","Kg",2019-01-21
"530702 Sainsbury's Blueberries (80g)",0,0,"530702","Sainsbury's Blueberries (80g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",1.15,NA,14.38,"80g","Kg",2019-01-21
"534877 Tesco Blueberries (200g)",0,0,"534877","Tesco Blueberries (200g)","Blueberries","Tesco Blueberries ","Tesco",2,NA,10,"200g","Kg",2019-01-21
"428015 Tesco Rosedene Farms Blueberries (125g)",0,0,"428015","Tesco Rosedene Farms Blueberries (125g)","Blueberries","Tesco Rosedene Farms Blueberries ","Tesco",1.32,NA,10.56,"125g","Kg",2019-01-21
"534241 Tesco Organic Blueberries (150g)",0,0,"534241","Tesco Organic Blueberries (150g)","Blueberries","Tesco Organic Blueberries ","Tesco",2.25,NA,15,"150g","Kg",2019-01-21
"196315 Tesco Finest Blueberries (150g)",0,0,"196315","Tesco Finest Blueberries (150g)","Blueberries","Tesco Finest Blueberries ","Tesco",2.25,NA,15,"150g","Kg",2019-01-21
"NA Tesco Blueberries (325g)",NA,NA,"NA","Tesco Blueberries (325g)","Blueberries","Tesco Blueberries ","Tesco",3,NA,9.23,"325g","Kg",2019-01-21
"203336 ASDA Grower's Selection Cherries (200g)",0,0,"203336","ASDA Grower's Selection Cherries (200g)","Cherries","ASDA Grower's Selection Cherries ","ASDA",2,NA,10,"200g","Kg",2019-01-21
"366365 Iceland Farmer's Makret Cherries (300g)",0,0,"366365","Iceland Farmer's Makret Cherries (300g)","Cherries","Iceland Farmer's Makret Cherries ","Iceland",2,NA,6.67,"300g","Kg",2019-01-21
"507918 Cherries (200g)",0,0,"507918","Cherries (200g)","Cherries","Cherries ","Lidl",1.29,NA,6.45,"200g","Kg",2019-01-21
"534998 Morrisons Cherries (200g)",0,0,"534998","Morrisons Cherries (200g)","Cherries","Morrisons Cherries ","Morrisons",2,NA,10,"200g","Kg",2019-01-21
"387665 Ocado Cherries (200g)",0,0,"387665","Ocado Cherries (200g)","Cherries","Ocado Cherries ","Ocado",2,NA,10,"200g","Kg",2019-01-21
"484930 Waitrose Sweet & Juicy Cherries (180g)",NA,NA,"484930","Waitrose Sweet & Juicy Cherries (180g)","Cherries","Waitrose Sweet & Juicy Cherries ","Ocado",3.5,NA,12.94,"180g","Kg",2019-01-21
"242493 Sainsbury's Cherries (200g)",0,0,"242493","Sainsbury's Cherries (200g)","Cherries","Sainsbury's Cherries ","Sainsburys",2,NA,10,"200g","Kg",2019-01-21
"049563 Tesco Cherries (200g)",0,0,"049563","Tesco Cherries (200g)","Cherries","Tesco Cherries ","Tesco",2,NA,10,"200g","Kg",2019-01-21
"268844 Tesco Cherries (400g)",0,0,"268844","Tesco Cherries (400g)","Cherries","Tesco Cherries ","Tesco",4,NA,10,"400g","Kg",2019-01-21
"NA Ashfield Farm British Diced Beef (700g)",0,0,"NA","Ashfield Farm British Diced Beef (700g)","Diced_Beef","Ashfield Farm British Diced Beef ","Aldi",4.79,NA,6.84,"700g","Kg",2019-01-21
"246732 ASDA Butcher's Selection Diced Beef (700g)",0,0,"246732","ASDA Butcher's Selection Diced Beef (700g)","Diced_Beef","ASDA Butcher's Selection Diced Beef ","ASDA",5.5,NA,7.41,"700g","Kg",2019-01-21
"441448 ASDA Butcher's Selection Diced Beef (475g)",0,0,"441448","ASDA Butcher's Selection Diced Beef (475g)","Diced_Beef","ASDA Butcher's Selection Diced Beef ","ASDA",3.8,7.02,8,"475g","Kg",2019-01-21
"080850 ASDA Butcher's Selection British Diced Beef Casserole (250g)",0,0,"080850","ASDA Butcher's Selection British Diced Beef Casserole (250g)","Diced_Beef","ASDA Butcher's Selection British Diced Beef Casserole ","ASDA",2.49,NA,9.96,"250g","Kg",2019-01-21
"310593 ASDA Butcher's Selection Beef Stir Fry (350g)",0,0,"310593","ASDA Butcher's Selection Beef Stir Fry (350g)","Diced_Beef","ASDA Butcher's Selection Beef Stir Fry ","ASDA",3.6,NA,10.29,"350g","Kg",2019-01-21
"402525 ASDA Organic Butcher's Selection Diced Beef (350g)",0,0,"402525","ASDA Organic Butcher's Selection Diced Beef (350g)","Diced_Beef","ASDA Organic Butcher's Selection Diced Beef ","ASDA",3.75,NA,10.71,"350g","Kg",2019-01-21
"542284 ASDA Extra Special Aberdeen Angus Diced Beef (350g)",0,0,"542284","ASDA Extra Special Aberdeen Angus Diced Beef (350g)","Diced_Beef","ASDA Extra Special Aberdeen Angus Diced Beef ","ASDA",4,NA,11.43,"350g","Kg",2019-01-21
"393546 Iceland Butcher's Market Diced Beef (380g)",0,0,"393546","Iceland Butcher's Market Diced Beef (380g)","Diced_Beef","Iceland Butcher's Market Diced Beef ","Iceland",3,7.02,7.89,"380g","Kg",2019-01-21
"340930 Iceland Butcher's Market Diced Beef (700g)",NA,NA,"340930","Iceland Butcher's Market Diced Beef (700g)","Diced_Beef","Iceland Butcher's Market Diced Beef ","Iceland",5,NA,7.14,"700g","Kg",2019-01-21
"449889 Morrisons Diced Beef (460g)",0,0,"449889","Morrisons Diced Beef (460g)","Diced_Beef","Morrisons Diced Beef ","Morrisons",4.15,7.25,9.02,"460g","Kg",2019-01-21
"540502 Shazans Halal Diced Beef (600g)",0,0,"540502","Shazans Halal Diced Beef (600g)","Diced_Beef","Shazans Halal Diced Beef ","Morrisons",6,NA,10,"600g","Kg",2019-01-21
"NA Morrisons The Best British Shorthorn Diced Beef (400g)",0,0,"NA","Morrisons The Best British Shorthorn Diced Beef (400g)","Diced_Beef","Morrisons The Best British Shorthorn Diced Beef ","Morrisons",4,NA,10,"400g","Kg",2019-01-21
"312816 Morrisons Beef Stir Fry (Approx 405g)",0,0,"312816","Morrisons Beef Stir Fry (Approx 405g)","Diced_Beef","Morrisons Beef Stir Fry ","Morrisons",4.46,NA,11.01,"Approx 405g","Kg",2019-01-21
"444948 Ocado Lean Diced Beef (600g)",0,0,"444948","Ocado Lean Diced Beef (600g)","Diced_Beef","Ocado Lean Diced Beef ","Ocado",5,NA,8.33,"600g","Kg",2019-01-21
"284077 Essential Waitrose British Diced Braising Steak (400g)",0,0,"284077","Essential Waitrose British Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose British Diced Braising Steak ","Ocado",4.4,8.33,11,"400g","Kg",2019-01-21
"NA Eden Lean Diced Beef - 5% Fat (400g)",0,0,"NA","Eden Lean Diced Beef - 5% Fat (400g)","Diced_Beef","Eden Lean Diced Beef - 5% Fat ","Ocado",4,NA,6.65,"400g","Kg",2019-01-21
"456086 Ocado Diced Beef - 5% Fat (342g)",0,0,"456086","Ocado Diced Beef - 5% Fat (342g)","Diced_Beef","Ocado Diced Beef - 5% Fat ","Ocado",3.16,NA,9.24,"342g","Kg",2019-01-21
"NA Eversfield Organic Diced Stewing Beef Grass Fed (400g)",0,0,"NA","Eversfield Organic Diced Stewing Beef Grass Fed (400g)","Diced_Beef","Eversfield Organic Diced Stewing Beef Grass Fed ","Ocado",5.79,NA,14.48,"400g","Kg",2019-01-21
"291043 Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)",0,0,"291043","Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose Beef Extra Lean Diced Braising Steak ","Ocado",5,NA,9.38,"400g","Kg",2019-01-21
"NA Eden Beef Stir Fry (400g)",0,0,"NA","Eden Beef Stir Fry (400g)","Diced_Beef","Eden Beef Stir Fry ","Ocado",6,10,15,"400g","Kg",2019-01-21
"370575 Brookfield Farm Organic Beef Stir Fry (300g)",0,0,"370575","Brookfield Farm Organic Beef Stir Fry (300g)","Diced_Beef","Brookfield Farm Organic Beef Stir Fry ","Ocado",4.99,NA,16.63,"300g","Kg",2019-01-21
"288762 Ocado Lean Beef Strips (375g)",0,0,"288762","Ocado Lean Beef Strips (375g)","Diced_Beef","Ocado Lean Beef Strips ","Ocado",3.8,NA,10.13,"375g","Kg",2019-01-21
"446037 Frohwein's Diced Beef Kosher (Approx 500g)",0,0,"446037","Frohwein's Diced Beef Kosher (Approx 500g)","Diced_Beef","Frohwein's Diced Beef Kosher ","Ocado",7.25,NA,14.5,"Approx 500g","Kg",2019-01-21
"293101 Brookfield Farm Veal Diced (400g)",0,0,"293101","Brookfield Farm Veal Diced (400g)","Diced_Beef","Brookfield Farm Veal Diced ","Ocado",5.6,NA,14,"400g","Kg",2019-01-21
"321386 Haloodies Diced Beef Halal (454g)",0,0,"321386","Haloodies Diced Beef Halal (454g)","Diced_Beef","Haloodies Diced Beef Halal ","Ocado",4.99,NA,10.99,"454g","Kg",2019-01-21
"215656 Daylesford Organic Diced Beef Aberdeen Angus (500g)",0,0,"215656","Daylesford Organic Diced Beef Aberdeen Angus (500g)","Diced_Beef","Daylesford Organic Diced Beef Aberdeen Angus ","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-21
"NA Daylesford Organic Beef Strips (400g)",0,0,"NA","Daylesford Organic Beef Strips (400g)","Diced_Beef","Daylesford Organic Beef Strips ","Ocado",7.99,NA,19.98,"400g","Kg",2019-01-21
"542718 The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)",0,0,"542718","The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)","Diced_Beef","The Juicy Meat Co. Flat Iron Steak Stir Fry ","Ocado",4.5,NA,16.07,"280g","Kg",2019-01-21
"493135 Sainsbury's Diced Beef Shin (400g)",0,0,"493135","Sainsbury's Diced Beef Shin (400g)","Diced_Beef","Sainsbury's Diced Beef Shin ","Sainsburys",2.85,NA,7.13,"400g","Kg",2019-01-21
"526200 Sainsbury's Extra Lean Diced Beef (600g)",0,0,"526200","Sainsbury's Extra Lean Diced Beef (600g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef ","Sainsburys",4.8,NA,8,"600g","Kg",2019-01-21
"526199 Sainsbury's Extra Lean Diced Beef (400g)",0,0,"526199","Sainsbury's Extra Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef ","Sainsburys",3.7,NA,9.25,"400g","Kg",2019-01-21
"526196 Sainsbury's Organic Diced Beef (400g)",0,0,"526196","Sainsbury's Organic Diced Beef (400g)","Diced_Beef","Sainsbury's Organic Diced Beef ","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-21
"526201 Sainsbury's Taste the Difference Lean Diced Beef (400g)",0,0,"526201","Sainsbury's Taste the Difference Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Taste the Difference Lean Diced Beef ","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-21
"487280 Sainsbury's Taste the Difference Diced Veal (450g)",0,0,"487280","Sainsbury's Taste the Difference Diced Veal (450g)","Diced_Beef","Sainsbury's Taste the Difference Diced Veal ","Sainsburys",7.5,NA,16.67,"450g","Kg",2019-01-21
"428249 Tesco Boswell Farms Diced Beef (400g)",0,0,"428249","Tesco Boswell Farms Diced Beef (400g)","Diced_Beef","Tesco Boswell Farms Diced Beef ","Tesco",2.59,NA,6.48,"400g","Kg",2019-01-21
"122675 Tesco Diced Beef (400g)",0,0,"122675","Tesco Diced Beef (400g)","Diced_Beef","Tesco Diced Beef ","Tesco",3.7,8.33,9.25,"400g","Kg",2019-01-21
"301622 Tesco Diced Beef (250g)",0,0,"301622","Tesco Diced Beef (250g)","Diced_Beef","Tesco Diced Beef ","Tesco",2,NA,8,"250g","Kg",2019-01-21
"336549 Tesco Diced Beef (600g)",0,0,"336549","Tesco Diced Beef (600g)","Diced_Beef","Tesco Diced Beef ","Tesco",5,NA,8.33,"600g","Kg",2019-01-21
"298935 Tesco Organic Diced Beef (400g)",0,0,"298935","Tesco Organic Diced Beef (400g)","Diced_Beef","Tesco Organic Diced Beef ","Tesco",4,NA,10,"400g","Kg",2019-01-21
"343903 Tesco Finest Diced Beef (400g)",0,0,"343903","Tesco Finest Diced Beef (400g)","Diced_Beef","Tesco Finest Diced Beef ","Tesco",5,NA,12.5,"400g","Kg",2019-01-21
"053025 Tesco Beef Stir Fry Strips (357g)",0,0,"053025","Tesco Beef Stir Fry Strips (357g)","Diced_Beef","Tesco Beef Stir Fry Strips ","Tesco",3.8,NA,10.64,"357g","Kg",2019-01-21
"426824 Tesco Deli Counter British Beef Stewing (250g)",0,0,"426824","Tesco Deli Counter British Beef Stewing (250g)","Diced_Beef","Tesco Deli Counter British Beef Stewing ","Tesco",2,NA,8,"250g","Kg",2019-01-21
"231028 Tesco Counter Beef Skirt (Approx 300g)",0,0,"231028","Tesco Counter Beef Skirt (Approx 300g)","Diced_Beef","Tesco Counter Beef Skirt ","Tesco",2.85,NA,9.5,"Approx 300g","Kg",2019-01-21
"042575 ASDA Grower's Selection Passion Fruit (3)",0,0,"042575","ASDA Grower's Selection Passion Fruit (3)","Exotic_Fruit","ASDA Grower's Selection Passion Fruit ","ASDA",1,NA,0.333,"3","Each",2019-01-21
"257756 ASDA Grower's Selection Pomegranates (3)",0,0,"257756","ASDA Grower's Selection Pomegranates (3)","Exotic_Fruit","ASDA Grower's Selection Pomegranates ","ASDA",1,NA,0.333,"3","Each",2019-01-21
