"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"480225 ASDA Grower's Selection Large Avocado",0,0,"480225","ASDA Grower's Selection Large Avocado","Avocado","ASDA Grower's Selection Large Avocado","ASDA",1,NA,1,"1","Each",2019-01-18
"NA Iceland Ripe & Ready Avocado",0,0,"NA","Iceland Ripe & Ready Avocado","Avocado","Iceland Ripe & Ready Avocado","Iceland",1.79,NA,1.79,"1","Each",2019-01-18
"454714 Oaklands Ready to Eat Avocado (2)",NA,NA,"454714","Oaklands Ready to Eat Avocado (2)","Avocado","Oaklands Ready to Eat Avocado ","Lidl",1.55,NA,0.775,"2","Each",2019-01-18
"520752 Lidl Avodillos (4)",NA,NA,"520752","Lidl Avodillos (4)","Avocado","Lidl Avodillos ","Lidl",1.69,NA,1.69,"4","Each",2019-01-18
"172058 Morrisons Avocado Ready to Eat (2)",NA,NA,"172058","Morrisons Avocado Ready to Eat (2)","Avocado","Morrisons Avocado Ready to Eat ","Morrisons",1.8,NA,0.9,"2","Each",2019-01-18
"540641 Morrisons Naturally Wonky Avocados (1Kg)",NA,NA,"540641","Morrisons Naturally Wonky Avocados (1Kg)","Avocado","Morrisons Naturally Wonky Avocados ","Morrisons",2.4,NA,2.4,"1Kg","Kg",2019-01-18
"421779 Morrisons Extra Large Avocado",0,0,"421779","Morrisons Extra Large Avocado","Avocado","Morrisons Extra Large Avocado","Morrisons",1.75,NA,1.75,"1","Each",2019-01-18
"312275 Morrisons Organic Avocados (2)",NA,NA,"312275","Morrisons Organic Avocados (2)","Avocado","Morrisons Organic Avocados ","Morrisons",2,NA,1,"2","Each",2019-01-18
"130510 Ocado Avocados (4)",NA,NA,"130510","Ocado Avocados (4)","Avocado","Ocado Avocados ","Ocado",1.85,NA,0.463,"4","Each",2019-01-18
"170148 Waitrose 1 Perfectly Ripe Avocado",0,0,"170148","Waitrose 1 Perfectly Ripe Avocado","Avocado","Waitrose 1 Perfectly Ripe Avocado","Ocado",1.29,1.03,1.29,"1","Each",2019-01-18
"148780 Essential Waitrose Baby Avocados (4)",NA,NA,"148780","Essential Waitrose Baby Avocados (4)","Avocado","Essential Waitrose Baby Avocados ","Ocado",1.99,NA,0.498,"4","Each",2019-01-18
"248477 Ocado Ripe & Ready to Eat Avocados (3)",NA,NA,"248477","Ocado Ripe & Ready to Eat Avocados (3)","Avocado","Ocado Ripe & Ready to Eat Avocados ","Ocado",2.63,NA,0.877,"3","Each",2019-01-18
"026201 Waitrose 1 Perfectly Ripe Avocados (2)",NA,NA,"026201","Waitrose 1 Perfectly Ripe Avocados (2)","Avocado","Waitrose 1 Perfectly Ripe Avocados ","Ocado",2,NA,1,"2","Each",2019-01-18
"042650 Waitrose Organic Avocados (2)",NA,NA,"042650","Waitrose Organic Avocados (2)","Avocado","Waitrose Organic Avocados ","Ocado",2.8,NA,1.4,"2","Each",2019-01-18
"309744 Love Me Tender Perfectly Ripe Avocado (2)",NA,NA,"309744","Love Me Tender Perfectly Ripe Avocado (2)","Avocado","Love Me Tender Perfectly Ripe Avocado ","Ocado",2.89,NA,1.16,"2","Each",2019-01-18
"413425 Waitrose Perfectly Ripe & Ripen at Home Avocados (4)",NA,NA,"413425","Waitrose Perfectly Ripe & Ripen at Home Avocados (4)","Avocado","Waitrose Perfectly Ripe & Ripen at Home Avocados ","Ocado",3.8,NA,0.95,"4","Each",2019-01-18
"287974 Natoora Large Ripe Haas Avocados (2)",NA,NA,"287974","Natoora Large Ripe Haas Avocados (2)","Avocado","Natoora Large Ripe Haas Avocados ","Ocado",5,NA,2.5,"2","Each",2019-01-18
"342442 Ocado Extra Large Avocado (2)",NA,NA,"342442","Ocado Extra Large Avocado (2)","Avocado","Ocado Extra Large Avocado ","Ocado",3.5,NA,1.75,"2","Each",2019-01-18
"424343 Natoora Ripe Haas Avocados (3)",NA,NA,"424343","Natoora Ripe Haas Avocados (3)","Avocado","Natoora Ripe Haas Avocados ","Ocado",5,NA,1.67,"3","Each",2019-01-18
"428759 Natoora Organic Large Ripe Avocados (2)",NA,NA,"428759","Natoora Organic Large Ripe Avocados (2)","Avocado","Natoora Organic Large Ripe Avocados ","Ocado",5.5,NA,2.75,"2","Each",2019-01-18
"454081 Wholegood Organic Avocado (2)",NA,NA,"454081","Wholegood Organic Avocado (2)","Avocado","Wholegood Organic Avocado ","Ocado",3.29,NA,1.65,"2","Each",2019-01-18
"398635 Sainsbury's Ripen at Home Avocado (4)",NA,NA,"398635","Sainsbury's Ripen at Home Avocado (4)","Avocado","Sainsbury's Ripen at Home Avocado ","Sainsburys",1.85,NA,0.463,"4","Each",2019-01-18
"107674 Sainsbury's Ripe & Ready Avocados (2)",NA,NA,"107674","Sainsbury's Ripe & Ready Avocados (2)","Avocado","Sainsbury's Ripe & Ready Avocados ","Sainsburys",1.95,NA,0.975,"2","Each",2019-01-18
"050185 Sainsbury's Organic Avocados (2)",NA,NA,"050185","Sainsbury's Organic Avocados (2)","Avocado","Sainsbury's Organic Avocados ","Sainsburys",2.5,NA,1.13,"2","Each",2019-01-18
"360128 Sainsbury's Ripe & Ready Avocados (4)",NA,NA,"360128","Sainsbury's Ripe & Ready Avocados (4)","Avocado","Sainsbury's Ripe & Ready Avocados ","Sainsburys",2.95,NA,0.675,"4","Each",2019-01-18
"025155 Sainsbury's Ripe & Ready Large Hass Avocado",0,0,"025155","Sainsbury's Ripe & Ready Large Hass Avocado","Avocado","Sainsbury's Ripe & Ready Large Hass Avocado","Sainsburys",1.15,NA,1.15,"1","Each",2019-01-18
"026544 Tesco Ripen at Home Avocado (4)",NA,NA,"026544","Tesco Ripen at Home Avocado (4)","Avocado","Tesco Ripen at Home Avocado ","Tesco",1.75,NA,0.438,"4","Each",2019-01-18
"046732 Tesco Medium Avocado Ready to Eat",0,0,"046732","Tesco Medium Avocado Ready to Eat","Avocado","Tesco Medium Avocado Ready to Eat","Tesco",0.85,NA,0.49,"1","Each",2019-01-18
"130465 Tesco Ready to Eat Haas Avocados (2)",NA,NA,"130465","Tesco Ready to Eat Haas Avocados (2)","Avocado","Tesco Ready to Eat Haas Avocados ","Tesco",1.75,NA,0.875,"2","Each",2019-01-18
"130463 Tesco Ready to Eat Large Avocado",0,0,"130463","Tesco Ready to Eat Large Avocado","Avocado","Tesco Ready to Eat Large Avocado","Tesco",1,NA,1,"1","Each",2019-01-18
"026486 Tesco Organic Avocados Ripe and Ready (2)",NA,NA,"026486","Tesco Organic Avocados Ripe and Ready (2)","Avocado","Tesco Organic Avocados Ripe and Ready ","Tesco",2.5,NA,1.25,"2","Each",2019-01-18
"291262 Tesco Ready to Eat Extra Large Avocados",0,0,"291262","Tesco Ready to Eat Extra Large Avocados","Avocado","Tesco Ready to Eat Extra Large Avocados","Tesco",1.75,NA,1.75,"1","Each",2019-01-18
"096945 ASDA Grower's Selection Blackberries (150g)",NA,NA,"096945","ASDA Grower's Selection Blackberries (150g)","Blackberries","ASDA Grower's Selection Blackberries ","ASDA",1.89,NA,12.6,"150g","Kg",2019-01-18
"NA Driscoll's Premium Blackberries (125g)",NA,NA,"NA","Driscoll's Premium Blackberries (125g)","Blackberries","Driscoll's Premium Blackberries ","Lidl",1.99,NA,15.92,"125g","Kg",2019-01-18
"210697 Morrisons Blackberries (150g)",NA,NA,"210697","Morrisons Blackberries (150g)","Blackberries","Morrisons Blackberries ","Morrisons",2,NA,13.33,"150g","Kg",2019-01-18
"269211 Ocado Blackberries (150g)",NA,NA,"269211","Ocado Blackberries (150g)","Blackberries","Ocado Blackberries ","Ocado",2,NA,13.33,"150g","Kg",2019-01-18
"401395 BerryWorld Blackberries (150g)",NA,NA,"401395","BerryWorld Blackberries (150g)","Blackberries","BerryWorld Blackberries ","Ocado",3,16.67,20,"150g","Kg",2019-01-18
"078100 Sainsbury's Tangy Blackberries (150g)",NA,NA,"078100","Sainsbury's Tangy Blackberries (150g)","Blackberries","Sainsbury's Tangy Blackberries ","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-18
"050162 Sainsbury's Tangy Blackberries (225g)",NA,NA,"050162","Sainsbury's Tangy Blackberries (225g)","Blackberries","Sainsbury's Tangy Blackberries ","Sainsburys",2.85,NA,12.67,"225g","Kg",2019-01-18
"293532 Tesco Blackberries (150g)",NA,NA,"293532","Tesco Blackberries (150g)","Blackberries","Tesco Blackberries ","Tesco",2,NA,13.33,"150g","Kg",2019-01-18
"428013 Tesco Rosedene Farms Blackberries (150g)",NA,NA,"428013","Tesco Rosedene Farms Blackberries (150g)","Blackberries","Tesco Rosedene Farms Blackberries ","Tesco",1.49,NA,9.93,"150g","Kg",2019-01-18
"214120 ASDA Grower's Selection Blueberries (200g)",NA,NA,"214120","ASDA Grower's Selection Blueberries (200g)","Blueberries","ASDA Grower's Selection Blueberries ","ASDA",2.39,NA,8,"200g","Kg",2019-01-18
"479720 ASDA Farm Stores Blueberries (125g)",NA,NA,"479720","ASDA Farm Stores Blueberries (125g)","Blueberries","ASDA Farm Stores Blueberries ","ASDA",1.59,NA,8,"125g","Kg",2019-01-18
"479766 ASDA Grower's Selection Organic Blueberries (125g)",NA,NA,"479766","ASDA Grower's Selection Organic Blueberries (125g)","Blueberries","ASDA Grower's Selection Organic Blueberries ","ASDA",2.39,NA,19.12,"125g","Kg",2019-01-18
"477747 Blueberries (150g)",NA,NA,"477747","Blueberries (150g)","Blueberries","Blueberries ","Lidl",1.58,NA,10.53,"150g","Kg",2019-01-18
"NA Blueberries (250g)",NA,NA,"NA","Blueberries (250g)","Blueberries","Blueberries ","Lidl",1.99,NA,7.96,"250g","Kg",2019-01-18
"538361 Morrisons Blueberries (125g)",NA,NA,"538361","Morrisons Blueberries (125g)","Blueberries","Morrisons Blueberries ","Morrisons",2,12,16,"125g","Kg",2019-01-18
"NA Morrisons The Best Blueberries (150g)",NA,NA,"NA","Morrisons The Best Blueberries (150g)","Blueberries","Morrisons The Best Blueberries ","Morrisons",2.75,NA,18.33,"150g","Kg",2019-01-18
"293508 Morrisons Blueberries (350g)",NA,NA,"293508","Morrisons Blueberries (350g)","Blueberries","Morrisons Blueberries ","Morrisons",3.25,NA,9.29,"350g","Kg",2019-01-18
"174961 Ocado Blueberries (250g)",NA,NA,"174961","Ocado Blueberries (250g)","Blueberries","Ocado Blueberries ","Ocado",3,NA,12,"250g","Kg",2019-01-18
"403347 Ocado Blueberries (150g)",NA,NA,"403347","Ocado Blueberries (150g)","Blueberries","Ocado Blueberries ","Ocado",1.99,NA,13.27,"150g","Kg",2019-01-18
"428758 Waitrose Blueberries (225g)",NA,NA,"428758","Waitrose Blueberries (225g)","Blueberries","Waitrose Blueberries ","Ocado",3.5,NA,15.56,"225g","Kg",2019-01-18
"484929 Waitrose Blueberries (150g)",NA,NA,"484929","Waitrose Blueberries (150g)","Blueberries","Waitrose Blueberries ","Ocado",2.5,NA,16.67,"150g","Kg",2019-01-18
"401398 BerryWorld Blueberries (150g)",NA,NA,"401398","BerryWorld Blueberries (150g)","Blueberries","BerryWorld Blueberries ","Ocado",3,16.67,20,"150g","Kg",2019-01-18
"538915 Waitrose Duchy Organic Blueberries (125g)",NA,NA,"538915","Waitrose Duchy Organic Blueberries (125g)","Blueberries","Waitrose Duchy Organic Blueberries ","Ocado",2.5,NA,20,"125g","Kg",2019-01-18
"NA Ocado Organic Blueberries (150g)",NA,NA,"NA","Ocado Organic Blueberries (150g)","Blueberries","Ocado Organic Blueberries ","Ocado",2.25,NA,15,"150g","Kg",2019-01-18
"046577 Sainsbury's Blueberries (150g)",NA,NA,"046577","Sainsbury's Blueberries (150g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-18
"227356 Sainsbury's Blueberries (400g)",NA,NA,"227356","Sainsbury's Blueberries (400g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",3.5,NA,8.75,"400g","Kg",2019-01-18
"381118 Sainsbury's Blueberries (100g)",NA,NA,"381118","Sainsbury's Blueberries (100g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",1.1,NA,11,"100g","Kg",2019-01-18
"530702 Sainsbury's Blueberries (80g)",NA,NA,"530702","Sainsbury's Blueberries (80g)","Blueberries","Sainsbury's Blueberries ","Sainsburys",1.15,NA,14.38,"80g","Kg",2019-01-18
"534877 Tesco Blueberries (200g)",NA,NA,"534877","Tesco Blueberries (200g)","Blueberries","Tesco Blueberries ","Tesco",2,NA,10,"200g","Kg",2019-01-18
"428015 Tesco Rosedene Farms Blueberries (125g)",NA,NA,"428015","Tesco Rosedene Farms Blueberries (125g)","Blueberries","Tesco Rosedene Farms Blueberries ","Tesco",1.32,NA,10.56,"125g","Kg",2019-01-18
"534241 Tesco Organic Blueberries (150g)",NA,NA,"534241","Tesco Organic Blueberries (150g)","Blueberries","Tesco Organic Blueberries ","Tesco",2.25,NA,15,"150g","Kg",2019-01-18
"203336 ASDA Grower's Selection Cherries (200g)",NA,NA,"203336","ASDA Grower's Selection Cherries (200g)","Cherries","ASDA Grower's Selection Cherries ","ASDA",2,NA,10,"200g","Kg",2019-01-18
"366365 Iceland Farmer's Makret Cherries (300g)",NA,NA,"366365","Iceland Farmer's Makret Cherries (300g)","Cherries","Iceland Farmer's Makret Cherries ","Iceland",2,NA,6.67,"300g","Kg",2019-01-18
"507918 Cherries (200g)",NA,NA,"507918","Cherries (200g)","Cherries","Cherries ","Lidl",1.29,NA,6.45,"200g","Kg",2019-01-18
"534998 Morrisons Cherries (200g)",NA,NA,"534998","Morrisons Cherries (200g)","Cherries","Morrisons Cherries ","Morrisons",2,7.5,10,"200g","Kg",2019-01-18
"387665 Ocado Cherries (200g)",NA,NA,"387665","Ocado Cherries (200g)","Cherries","Ocado Cherries ","Ocado",2,NA,10,"200g","Kg",2019-01-18
"484930 Waitrose Cherries (180g)",NA,NA,"484930","Waitrose Cherries (180g)","Cherries","Waitrose Cherries ","Ocado",3.5,NA,12.94,"180g","Kg",2019-01-18
"242493 Sainsbury's Cherries (200g)",NA,NA,"242493","Sainsbury's Cherries (200g)","Cherries","Sainsbury's Cherries ","Sainsburys",2,NA,10,"200g","Kg",2019-01-18
"049563 Tesco Cherries (200g)",NA,NA,"049563","Tesco Cherries (200g)","Cherries","Tesco Cherries ","Tesco",2,NA,10,"200g","Kg",2019-01-18
"268844 Tesco Cherries (400g)",NA,NA,"268844","Tesco Cherries (400g)","Cherries","Tesco Cherries ","Tesco",4,NA,10,"400g","Kg",2019-01-18
"NA Ashfield Farm British Diced Beef (700g)",NA,NA,"NA","Ashfield Farm British Diced Beef (700g)","Diced_Beef","Ashfield Farm British Diced Beef ","Aldi",4.79,NA,6.84,"700g","Kg",2019-01-18
"246732 ASDA Butcher's Selection Diced Beef (700g)",NA,NA,"246732","ASDA Butcher's Selection Diced Beef (700g)","Diced_Beef","ASDA Butcher's Selection Diced Beef ","ASDA",5.5,NA,7.41,"700g","Kg",2019-01-18
"441448 ASDA Butcher's Selection Diced Beef (475g)",NA,NA,"441448","ASDA Butcher's Selection Diced Beef (475g)","Diced_Beef","ASDA Butcher's Selection Diced Beef ","ASDA",3.8,7.02,8,"475g","Kg",2019-01-18
"080850 ASDA Butcher's Selection British Diced Beef Casserole (250g)",NA,NA,"080850","ASDA Butcher's Selection British Diced Beef Casserole (250g)","Diced_Beef","ASDA Butcher's Selection British Diced Beef Casserole ","ASDA",2.49,NA,9.96,"250g","Kg",2019-01-18
"310593 ASDA Butcher's Selection Beef Stir Fry (350g)",NA,NA,"310593","ASDA Butcher's Selection Beef Stir Fry (350g)","Diced_Beef","ASDA Butcher's Selection Beef Stir Fry ","ASDA",3.6,NA,10.29,"350g","Kg",2019-01-18
"402525 ASDA Organic Butcher's Selection Diced Beef (350g)",NA,NA,"402525","ASDA Organic Butcher's Selection Diced Beef (350g)","Diced_Beef","ASDA Organic Butcher's Selection Diced Beef ","ASDA",3.75,NA,10.71,"350g","Kg",2019-01-18
"542284 ASDA Extra Special Aberdeen Angus Diced Beef (350g)",NA,NA,"542284","ASDA Extra Special Aberdeen Angus Diced Beef (350g)","Diced_Beef","ASDA Extra Special Aberdeen Angus Diced Beef ","ASDA",4,NA,11.43,"350g","Kg",2019-01-18
"393546 Iceland Butcher's Market Diced Beef (380g)",NA,NA,"393546","Iceland Butcher's Market Diced Beef (380g)","Diced_Beef","Iceland Butcher's Market Diced Beef ","Iceland",3,7.02,7.89,"380g","Kg",2019-01-18
"340930 Iceland Butcher's Market Diced Beef (650g)",NA,NA,"340930","Iceland Butcher's Market Diced Beef (650g)","Diced_Beef","Iceland Butcher's Market Diced Beef ","Iceland",5,NA,7.69,"650g","Kg",2019-01-18
"449889 Morrisons Diced Beef (460g)",NA,NA,"449889","Morrisons Diced Beef (460g)","Diced_Beef","Morrisons Diced Beef ","Morrisons",4.15,7.25,9.02,"460g","Kg",2019-01-18
"540502 Shazans Halal Diced Beef (600g)",NA,NA,"540502","Shazans Halal Diced Beef (600g)","Diced_Beef","Shazans Halal Diced Beef ","Morrisons",6,NA,10,"600g","Kg",2019-01-18
"NA Morrisons The Best British Shorthorn Diced Beef (400g)",NA,NA,"NA","Morrisons The Best British Shorthorn Diced Beef (400g)","Diced_Beef","Morrisons The Best British Shorthorn Diced Beef ","Morrisons",4,NA,10,"400g","Kg",2019-01-18
"312816 Morrisons Beef Stir Fry (Approx 405g)",NA,NA,"312816","Morrisons Beef Stir Fry (Approx 405g)","Diced_Beef","Morrisons Beef Stir Fry ","Morrisons",4.46,NA,11.01,"Approx 405g","Kg",2019-01-18
"444948 Ocado Lean Diced Beef (600g)",NA,NA,"444948","Ocado Lean Diced Beef (600g)","Diced_Beef","Ocado Lean Diced Beef ","Ocado",5,NA,8.33,"600g","Kg",2019-01-18
"284077 Essential Waitrose British Diced Braising Steak (400g)",NA,NA,"284077","Essential Waitrose British Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose British Diced Braising Steak ","Ocado",4.4,8.33,11,"400g","Kg",2019-01-18
"456086 Ocado Diced Beef - 5% Fat (342g)",NA,NA,"456086","Ocado Diced Beef - 5% Fat (342g)","Diced_Beef","Ocado Diced Beef - 5% Fat ","Ocado",3.16,NA,9.24,"342g","Kg",2019-01-18
"NA Eden Lean Diced Beef - 5% Fat (400g)",NA,NA,"NA","Eden Lean Diced Beef - 5% Fat (400g)","Diced_Beef","Eden Lean Diced Beef - 5% Fat ","Ocado",4,NA,6.65,"400g","Kg",2019-01-18
"NA Eversfield Organic Diced Stewing Beef Grass Fed (400g)",NA,NA,"NA","Eversfield Organic Diced Stewing Beef Grass Fed (400g)","Diced_Beef","Eversfield Organic Diced Stewing Beef Grass Fed ","Ocado",5.79,NA,14.48,"400g","Kg",2019-01-18
"291043 Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)",NA,NA,"291043","Essential Waitrose Beef Extra Lean Diced Braising Steak (400g)","Diced_Beef","Essential Waitrose Beef Extra Lean Diced Braising Steak ","Ocado",5,NA,9.38,"400g","Kg",2019-01-18
"288762 Ocado Lean Beef Strips (375g)",NA,NA,"288762","Ocado Lean Beef Strips (375g)","Diced_Beef","Ocado Lean Beef Strips ","Ocado",3.8,NA,10.13,"375g","Kg",2019-01-18
"370575 Brookfield Farm Organic Beef Stir Fry (300g)",NA,NA,"370575","Brookfield Farm Organic Beef Stir Fry (300g)","Diced_Beef","Brookfield Farm Organic Beef Stir Fry ","Ocado",4.99,NA,16.63,"300g","Kg",2019-01-18
"NA Eden Beef Stir Fry (400g)",NA,NA,"NA","Eden Beef Stir Fry (400g)","Diced_Beef","Eden Beef Stir Fry ","Ocado",6,10,15,"400g","Kg",2019-01-18
"446037 Frohwein's Diced Beef Kosher (Approx 500g)",NA,NA,"446037","Frohwein's Diced Beef Kosher (Approx 500g)","Diced_Beef","Frohwein's Diced Beef Kosher ","Ocado",7.25,NA,14.5,"Approx 500g","Kg",2019-01-18
"293101 Brookfield Farm Veal Diced (400g)",NA,NA,"293101","Brookfield Farm Veal Diced (400g)","Diced_Beef","Brookfield Farm Veal Diced ","Ocado",5.6,NA,14,"400g","Kg",2019-01-18
"321386 Haloodies Diced Beef Halal (454g)",NA,NA,"321386","Haloodies Diced Beef Halal (454g)","Diced_Beef","Haloodies Diced Beef Halal ","Ocado",4.99,NA,10.99,"454g","Kg",2019-01-18
"215656 Daylesford Organic Diced Beef Aberdeen Angus (500g)",NA,NA,"215656","Daylesford Organic Diced Beef Aberdeen Angus (500g)","Diced_Beef","Daylesford Organic Diced Beef Aberdeen Angus ","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-18
"NA Daylesford Organic Beef Strips (400g)",NA,NA,"NA","Daylesford Organic Beef Strips (400g)","Diced_Beef","Daylesford Organic Beef Strips ","Ocado",7.99,NA,19.98,"400g","Kg",2019-01-18
"542718 The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)",NA,NA,"542718","The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)","Diced_Beef","The Juicy Meat Co. Flat Iron Steak Stir Fry ","Ocado",4.5,NA,16.07,"280g","Kg",2019-01-18
"493135 Sainsbury's Diced Beef Shin (400g)",NA,NA,"493135","Sainsbury's Diced Beef Shin (400g)","Diced_Beef","Sainsbury's Diced Beef Shin ","Sainsburys",2.85,NA,7.13,"400g","Kg",2019-01-18
"526200 Sainsbury's Extra Lean Diced Beef (600g)",NA,NA,"526200","Sainsbury's Extra Lean Diced Beef (600g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef ","Sainsburys",4.8,NA,8,"600g","Kg",2019-01-18
"526199 Sainsbury's Extra Lean Diced Beef (400g)",NA,NA,"526199","Sainsbury's Extra Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef ","Sainsburys",3.7,NA,9.25,"400g","Kg",2019-01-18
"526196 Sainsbury's Organic Diced Beef (400g)",NA,NA,"526196","Sainsbury's Organic Diced Beef (400g)","Diced_Beef","Sainsbury's Organic Diced Beef ","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-18
"526201 Sainsbury's Taste the Difference Lean Diced Beef (400g)",NA,NA,"526201","Sainsbury's Taste the Difference Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Taste the Difference Lean Diced Beef ","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-18
"487280 Sainsbury's Taste the Difference Diced Veal (450g)",NA,NA,"487280","Sainsbury's Taste the Difference Diced Veal (450g)","Diced_Beef","Sainsbury's Taste the Difference Diced Veal ","Sainsburys",7.5,NA,16.67,"450g","Kg",2019-01-18
"428249 Tesco Boswell Farms Diced Beef (400g)",NA,NA,"428249","Tesco Boswell Farms Diced Beef (400g)","Diced_Beef","Tesco Boswell Farms Diced Beef ","Tesco",2.59,NA,6.48,"400g","Kg",2019-01-18
"122675 Tesco Diced Beef (400g)",NA,NA,"122675","Tesco Diced Beef (400g)","Diced_Beef","Tesco Diced Beef ","Tesco",3.7,8.33,9.25,"400g","Kg",2019-01-18
"301622 Tesco Diced Beef (250g)",NA,NA,"301622","Tesco Diced Beef (250g)","Diced_Beef","Tesco Diced Beef ","Tesco",2,NA,8,"250g","Kg",2019-01-18
"336549 Tesco Diced Beef (600g)",NA,NA,"336549","Tesco Diced Beef (600g)","Diced_Beef","Tesco Diced Beef ","Tesco",5,NA,8.33,"600g","Kg",2019-01-18
"298935 Tesco Organic Diced Beef (400g)",NA,NA,"298935","Tesco Organic Diced Beef (400g)","Diced_Beef","Tesco Organic Diced Beef ","Tesco",4,NA,10,"400g","Kg",2019-01-18
"343903 Tesco Finest Diced Beef (400g)",NA,NA,"343903","Tesco Finest Diced Beef (400g)","Diced_Beef","Tesco Finest Diced Beef ","Tesco",5,NA,12.5,"400g","Kg",2019-01-18
"053025 Tesco Beef Stir Fry Strips (357g)",NA,NA,"053025","Tesco Beef Stir Fry Strips (357g)","Diced_Beef","Tesco Beef Stir Fry Strips ","Tesco",3.8,NA,10.64,"357g","Kg",2019-01-18
"426824 Tesco Deli Counter British Beef Stewing (250g)",NA,NA,"426824","Tesco Deli Counter British Beef Stewing (250g)","Diced_Beef","Tesco Deli Counter British Beef Stewing ","Tesco",2,NA,8,"250g","Kg",2019-01-18
"231028 Tesco Counter Beef Skirt (Approx 300g)",NA,NA,"231028","Tesco Counter Beef Skirt (Approx 300g)","Diced_Beef","Tesco Counter Beef Skirt ","Tesco",2.85,NA,9.5,"Approx 300g","Kg",2019-01-18
"042575 ASDA Grower's Selection Passion Fruit (3)",NA,NA,"042575","ASDA Grower's Selection Passion Fruit (3)","Exotic_Fruit","ASDA Grower's Selection Passion Fruit ","ASDA",1,NA,0.333,"3","Each",2019-01-18
"257756 ASDA Grower's Selection Pomegranates (3)",NA,NA,"257756","ASDA Grower's Selection Pomegranates (3)","Exotic_Fruit","ASDA Grower's Selection Pomegranates ","ASDA",1,NA,0.333,"3","Each",2019-01-18
"042570 ASDA Grower's Selection Coconut",0,0,"042570","ASDA Grower's Selection Coconut","Exotic_Fruit","ASDA Grower's Selection Coconut","ASDA",0.8,NA,0.5,"1","Each",2019-01-18
"108488 ASDA Grower's Selection Giant Pomegranate",0,0,"108488","ASDA Grower's Selection Giant Pomegranate","Exotic_Fruit","ASDA Grower's Selection Giant Pomegranate","ASDA",1,NA,1,"1","Each",2019-01-18
