"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"173884 ASDA Grower's Selection Apricots (320g)",NA,NA,"173884","ASDA Grower's Selection Apricots (320g)","Apricots","ASDA Grower's Selection Apricots ","ASDA",1.19,NA,3.72,"320g","Kg",2019-01-18
"NA Lidl Apricots (320g)",NA,NA,"NA","Lidl Apricots (320g)","Apricots","Lidl Apricots ","Lidl",0.95,NA,2.97,"320g","Kg",2019-01-18
"311958 Morrisons Apricots (325g)",NA,NA,"311958","Morrisons Apricots (325g)","Apricots","Morrisons Apricots ","Morrisons",1,NA,3.08,"325g","Kg",2019-01-18
"266090 Essential Waitrose Home Ripening Apricots (320g)",NA,NA,"266090","Essential Waitrose Home Ripening Apricots (320g)","Apricots","Essential Waitrose Home Ripening Apricots ","Ocado",2.99,NA,9.34,"320g","Kg",2019-01-18
"383632 Ocado Ripen at Home Apricots (320g)",NA,NA,"383632","Ocado Ripen at Home Apricots (320g)","Apricots","Ocado Ripen at Home Apricots ","Ocado",2.98,NA,7.44,"320g","Kg",2019-01-18
"025123 Sainsbury's Apricots (320g)",NA,NA,"025123","Sainsbury's Apricots (320g)","Apricots","Sainsbury's Apricots ","Sainsburys",1.5,NA,4.69,"320g","Kg",2019-01-18
"391355 Sainsbury's Apricot Ripe & Ready (5)",NA,NA,"391355","Sainsbury's Apricot Ripe & Ready (5)","Apricots","Sainsbury's Apricot Ripe & Ready ","Sainsburys",2,NA,0.4,"5","Each",2019-01-18
"227351 Tesco Juicy Apricots (320g)",NA,NA,"227351","Tesco Juicy Apricots (320g)","Apricots","Tesco Juicy Apricots ","Tesco",2,NA,6.25,"320g","Kg",2019-01-18
"027363 ASDA Grower's Selection Ripe Avocados (2)",NA,NA,"027363","ASDA Grower's Selection Ripe Avocados (2)","Avocado","ASDA Grower's Selection Ripe Avocados ","ASDA",1.6,NA,0.8,"2","Each",2019-01-18
"480226 ASDA Grower's Selection Ripen at Home Avacodos (4)",NA,NA,"480226","ASDA Grower's Selection Ripen at Home Avacodos (4)","Avocado","ASDA Grower's Selection Ripen at Home Avacodos ","ASDA",1.8,NA,0.45,"4","Each",2019-01-18
